date,feature_index,SO2
2026-02-02T00:00:00.000Z,0,
2026-01-27T00:00:00.000Z,0,
2026-01-30T00:00:00.000Z,0,8.286997351802938E-5
2026-05-21T00:00:00.000Z,0,2.0608232443919405E-4
2026-05-19T00:00:00.000Z,0,1.3761710215476342E-4
2026-05-23T00:00:00.000Z,0,5.54575672140345E-4
2026-05-25T00:00:00.000Z,0,0.0010952339216601104
2026-05-26T00:00:00.000Z,0,-6.2025637816987E-5
2026-05-20T00:00:00.000Z,0,2.1360727259889245E-5
2026-05-22T00:00:00.000Z,0,7.224553555715829E-4
2026-05-24T00:00:00.000Z,0,0.0019054659351240844
2026-08-16T00:00:00.000Z,0,1.4247261424316093E-4
2026-08-21T00:00:00.000Z,0,4.505051037995145E-5
2026-08-18T00:00:00.000Z,0,1.099098326449166E-4
2026-08-15T00:00:00.000Z,0,1.138329753302969E-4
2026-08-19T00:00:00.000Z,0,7.137191423680633E-4
2026-08-22T00:00:00.000Z,0,1.707468618405983E-5
2026-08-17T00:00:00.000Z,0,2.5917450329870917E-5
2026-08-20T00:00:00.000Z,0,5.293502545100637E-4
2026-07-21T00:00:00.000Z,0,-1.7023866045443963E-5
2026-07-15T00:00:00.000Z,0,-1.2567734211188508E-4
2026-07-20T00:00:00.000Z,0,1.0145767828362295E-4
2026-07-17T00:00:00.000Z,0,3.535441319399979E-4
2026-07-16T00:00:00.000Z,0,3.670180740300566E-5
2026-07-14T00:00:00.000Z,0,8.576331538279192E-6
2026-07-19T00:00:00.000Z,0,4.3700507618874934E-4
2026-07-18T00:00:00.000Z,0,5.468475337693235E-4
2025-09-20T00:00:00.000Z,0,
2025-09-16T00:00:00.000Z,0,2.083925464830827E-4
2025-09-18T00:00:00.000Z,0,8.66664594620185E-5
2025-09-15T00:00:00.000Z,0,1.0894778279180173E-4
2025-09-14T00:00:00.000Z,0,1.151928081526421E-4
2025-09-19T00:00:00.000Z,0,-1.4018380497304861E-5
2025-09-13T00:00:00.000Z,0,-4.7205770897562616E-5
2025-09-17T00:00:00.000Z,0,-7.472423749277368E-5
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,-6.104935891926289E-4
2025-11-17T00:00:00.000Z,0,
2025-11-22T00:00:00.000Z,0,
2025-11-23T00:00:00.000Z,0,
2025-11-18T00:00:00.000Z,0,2.5884232309181243E-4
2025-11-21T00:00:00.000Z,0,
2025-11-16T00:00:00.000Z,0,9.334590686194133E-5
2026-02-14T00:00:00.000Z,0,
2026-02-13T00:00:00.000Z,0,
2026-02-16T00:00:00.000Z,0,2.6209479983663186E-4
2026-02-19T00:00:00.000Z,0,
2026-02-18T00:00:00.000Z,0,
2026-02-15T00:00:00.000Z,0,1.2469350440369453E-4
2026-02-12T00:00:00.000Z,0,2.2960471687838435E-4
2026-02-17T00:00:00.000Z,0,
2026-07-28T00:00:00.000Z,0,-3.074227424804121E-4
2026-07-24T00:00:00.000Z,0,4.73517732189066E-4
2026-07-25T00:00:00.000Z,0,4.244935926180915E-4
2026-07-26T00:00:00.000Z,0,9.307061372965109E-5
2026-07-22T00:00:00.000Z,0,3.271798414061777E-5
2026-07-29T00:00:00.000Z,0,3.1127007059694733E-4
2026-07-23T00:00:00.000Z,0,1.983945767278783E-4
2026-07-27T00:00:00.000Z,0,1.7269604722969234E-4
