date,feature_index,NO2
2026-02-14T00:00:00.000Z,0,
2026-02-13T00:00:00.000Z,0,
2026-02-16T00:00:00.000Z,0,5.672040788340382E-5
2026-02-19T00:00:00.000Z,0,
2026-02-18T00:00:00.000Z,0,
2026-02-15T00:00:00.000Z,0,2.977118219860131E-5
2026-02-12T00:00:00.000Z,0,4.819451714865863E-5
2026-02-17T00:00:00.000Z,0,
2026-03-26T00:00:00.000Z,0,5.3809457313036546E-5
2026-03-30T00:00:00.000Z,0,2.8903769816679414E-5
2026-03-24T00:00:00.000Z,0,
2026-03-31T00:00:00.000Z,0,3.1766383472131565E-5
2026-03-28T00:00:00.000Z,0,
2026-03-27T00:00:00.000Z,0,4.5887669936443366E-5
2026-03-25T00:00:00.000Z,0,4.976696436642669E-5
2026-03-29T00:00:00.000Z,0,3.4736621728370665E-5
2026-04-16T00:00:00.000Z,0,2.4313877474924084E-5
2026-04-13T00:00:00.000Z,0,2.248653800052125E-5
2026-04-15T00:00:00.000Z,0,2.427860272291582E-5
2026-04-12T00:00:00.000Z,0,1.413049062648497E-5
2026-04-10T00:00:00.000Z,0,4.825189171242528E-5
2026-04-11T00:00:00.000Z,0,5.721829074900597E-5
2026-04-09T00:00:00.000Z,0,
2026-04-14T00:00:00.000Z,0,2.1650616417900892E-5
2026-07-21T00:00:00.000Z,0,4.031586831843015E-5
2026-07-15T00:00:00.000Z,0,1.2607333019332145E-5
2026-07-20T00:00:00.000Z,0,3.3090175444764704E-5
2026-07-17T00:00:00.000Z,0,3.1291061986848945E-5
2026-07-16T00:00:00.000Z,0,3.92704723708448E-5
2026-07-14T00:00:00.000Z,0,2.6685770535550546E-5
2026-07-19T00:00:00.000Z,0,2.3403813429467846E-5
2026-07-18T00:00:00.000Z,0,2.651512613738305E-5
2026-07-02T00:00:00.000Z,0,5.6279873206221964E-5
2026-07-04T00:00:00.000Z,0,3.3710752404658706E-5
2026-07-03T00:00:00.000Z,0,4.481423820834607E-5
2026-07-01T00:00:00.000Z,0,2.9133298596661916E-5
2026-06-29T00:00:00.000Z,0,4.302665456634713E-5
2026-06-30T00:00:00.000Z,0,5.3025838496978395E-5
2026-07-05T00:00:00.000Z,0,2.5544541585986735E-5
2026-06-28T00:00:00.000Z,0,3.0118808354018256E-5
2025-10-27T00:00:00.000Z,0,
2025-10-23T00:00:00.000Z,0,4.169878229731694E-5
2025-10-29T00:00:00.000Z,0,
2025-10-26T00:00:00.000Z,0,4.28348821515101E-5
2025-10-28T00:00:00.000Z,0,
2025-10-30T00:00:00.000Z,0,3.587388891901355E-5
2025-10-25T00:00:00.000Z,0,2.6025063107226742E-5
2025-10-24T00:00:00.000Z,0,
2026-01-01T00:00:00.000Z,0,
2025-12-29T00:00:00.000Z,0,3.864776954287663E-5
2026-01-02T00:00:00.000Z,0,4.6345716327778064E-5
2025-12-28T00:00:00.000Z,0,
2025-12-30T00:00:00.000Z,0,3.32179582377042E-5
2025-12-31T00:00:00.000Z,0,
2025-12-26T00:00:00.000Z,0,
2025-12-27T00:00:00.000Z,0,
2026-05-08T00:00:00.000Z,0,2.4734826183703262E-5
2026-05-06T00:00:00.000Z,0,2.0355266428850882E-5
2026-05-10T00:00:00.000Z,0,2.7923719244427048E-5
2026-05-03T00:00:00.000Z,0,3.317839264127542E-5
2026-05-07T00:00:00.000Z,0,3.7628115933330264E-5
2026-05-09T00:00:00.000Z,0,1.4658067811978981E-5
2026-05-04T00:00:00.000Z,0,4.287025740268291E-5
2026-05-05T00:00:00.000Z,0,1.3923868891652091E-5
2026-07-31T00:00:00.000Z,0,2.9470907065842766E-5
2026-08-01T00:00:00.000Z,0,1.8592274500406347E-5
2026-08-06T00:00:00.000Z,0,2.5257088054786436E-5
2026-07-30T00:00:00.000Z,0,3.2420138268207666E-5
2026-08-04T00:00:00.000Z,0,1.8616876332089305E-5
2026-08-05T00:00:00.000Z,0,7.2882553467934486E-6
2026-08-02T00:00:00.000Z,0,2.6674100865875516E-6
2026-08-03T00:00:00.000Z,0,2.1204164113441948E-5
2025-11-30T00:00:00.000Z,0,
2025-11-26T00:00:00.000Z,0,
2025-11-25T00:00:00.000Z,0,
2025-11-28T00:00:00.000Z,0,2.9600359994219616E-5
2025-11-29T00:00:00.000Z,0,
2025-12-01T00:00:00.000Z,0,
2025-11-27T00:00:00.000Z,0,
2025-11-24T00:00:00.000Z,0,
